name,cause of death,born,died,comments
James Horner (composer),Small plane crash. ,"August 14, 1953","June 22, 2015","Oscar-winning composer for the score of Titanic, also composed score for The Wrath of Khan, Apollo 13 and Avatar. While better known for the ubiquitous ""My Heart Will go On,"" he also co-wrote the lovely and underrated ""Somewhere, Out There.""  twitter  IMDb  Obituary"
Dick Van Patten (actor),Complications of diabetes. ,"December 9, 1928","June 23, 2015","Eight is Enough, a bunch of Mel Brooks movies, brother of Joyce Van Patten, half-brother of Timothy Van Patten.  twitter  IBDB  IMDb  Obituary"
Patrick Macnee (actor),,"February 6, 1922","June 25, 2015",Steed in The Avengers.  Home Page  IBDB  IMDb  Obituary
Jack Carter (comic),,"June 24, 1922","June 28, 2015","Acerbic comic, appeared on many Friar's Club Roasts.  twitter  IBDB  IMDb  Obituary"
Sir Nicholas Winton (humanitarian),,"May 19, 1909","July 1, 2015","In 1939, he helped over 600 children to flee Czechoslovakia to foster homes in England, part of Kindertransport before the Nazis closed the borders. Most of the children's parents were later murdered in concentration camps.  twitter  IMDb  Obituary"
Omar Sharif (bridge expert/actor),Heart attack/Alzheimer's. ,"April 10, 1932","July 10, 2015",Lawrence of Arabia and Dr. Zhivago - a great-looking man into his 70s - perferred to play bridge rather than be in a bad movie.  twitter  IMDb  Obituary
Roger Rees (actor/director/writer),,"May 5, 1944","July 10, 2015","Robin in Cheers, Frida's father in Frida, co-writer of Peter and the Starcatcher, died same day as Omar Sharif.  twitter  IBDB  IMDb  Obituary"
"Claudia J. Alexander, Ph.d. (NASA Project Manager)",,"May 30, 1959","July 11, 2015",Managed the Galileo mission to Jupiter and was the NASA representative for the 2014 Rosetta mission where a rocket landed on a comet for the first time.  Home Page  twitter  IMDb  Obituary
Alex Rocco (actor),,"February 29, 1936","July 18, 2015","Over 50 years of movie/TV credits, played Moe Green in The Godfather, won an Emmy for The Famous Teddy Z.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Theodore Bikel (Actor/singer),,"in Vienna, part of the Jewish diaspora before WWII, he grew up in Israel, studied in England, starred in the original Broadway production of The Sound of Music as Captain von Trapp, was a founder of the Newport Folk Festival, played Worf's adoptive father on Star Trek: The Next Generation, made a documentary about Sholom Aleichem just before his death at 91","July 20, 2015 Born May 2, 1924",Make memorial contributions to The Actors Fund or Mazon  Home Page  twitter  IBDB  IMDb  Obituary
E. L. Doctorow (writer),Lung cancer. ,"January 6, 1931","July 21, 2015","Wrote great historical fiction, in particular Ragtime and The Book of Daniel.  Home Page  IBDB  IMDb  Obituary"
James Jude (doctor),Parkinson's ,"June 7, 1928","July 28, 2015",Inventor of CPR.  twitter  Obituary
Lynn Anderson (singer),Heart attack/pneumonia. ,"September 26, 1947","July 30, 2015","Sang the popular ""I Never Promised You a Rose Garden,"" made something of a comeback in mid-2015 when her gospel album ""Bridges"" was released.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Louis Sokoloff (doctor),,"Octoboer 14, 1921","July 30, 2015",Developed the PET scanner.  twitter  Obituary
Howard Jones (obstetrician/fertility specialist),,"December 30, 1910","July 31, 2015","With his wife Georgeanna, he helped develop in vitro fertilization and they oversaw the first in vitro babies in the US. He was also the doctor who treated Henrietta Lacks in the 1950s and was able to develop the first line of tumor cells that survived in the laboratory from her cancer.  Home Page  Obituary"
Herbert Wise (director),,"August 31, 1924","August 5, 2015","British TV director who directed I, Claudius, Upstairs, Downstairs, Elizabeth R and Breaking the Code.  twitter  IMDb  Obituary"
Frances Oldham Kelsey (doctor/pharmacologist),,"July 24, 1914","August 7, 2015",Drug reviewer for the FDA who prevented thalidomide from being released in America.  Home Page  twitter  Obituary
Julian Bond (civil rights activist),Vascular disease. ,"January 14, 1940","August 15, 2015","Founded the Student Nonviolent Coordinating Commitee in the '60s, served many years in the Georgia legislature and chaired the NAACP.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Yvonne Craig (actress/real estate agent),Cancer. ,"May 16, 1937","August 17, 2015","Batgirl, first wife of Jimmy Boyd.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Bud Yorkin (TV producer/director),Dementia. ,"February 22, 1926","August 18, 2015","Developed All in the Family, Maude and Sanford and Son with his business partner Norman Lear, directed comedies like Come Blow Your Horn and Divorce American Style.  twitter  IMDb  Obituary  FindAGrave"
Melody Patterson (actress),Multiple organ failure. ,"April 16, 1949","August 21, 2015","F Troop's Wranger Jane, once married to James MacArthur.  IMDb  Obituary  FindAGrave"
Wes Craven (writer/director),Cancer. ,"August 2, 1939","August 30, 2015","Mostly wrote/directed horror movies like the Nightmere on Elm Street and Scream series, he directed Meryl Streep to an Oscar nomination in Music of the Heart.  Home Page  Home Page  twitter  IMDb  Obituary  FindAGrave"
Oliver Sacks (neurologist/author),Cancer. ,"July 9, 1933","August 30, 2015","Neurologist whose work inspired Awakenings, he also wrote The Man Who Mistook His Wife for a Hat (and other clinical tales) and his memoir On The Road: A Life.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Dean Jones (actor),Parkinson's Disease. ,"January 25, 1931","September 1, 2015","Lots of Disney flicks - That Darn Cat, The Love Bug, but also gave an amazing performance of the song ""Being Alive"" for the original Broadway cast recording of ""Company.""  Home Page  twitter  IBDB  IMDb  Obituary"
Judy Carne (comic),Pneumonia. ,"April 27, 1939","September 3, 2015","Laugh-In's ""Sock-it-to-Me"" girl, an ex-wife of Burt Reynolds, returned to England after a difficult time in the States.  twitter  IMDb  Obituary"
"Martin Milner (actor, radio host)",,"December 28, 1931","September 6, 2015","Adam 12, co-hosted a radio show on fishing for a few years.  twitter  IMDb  Obituary"
Dickie Moore (writer/actor/public relations),,"September 12, 1925","September 10, 2015","Very famous child star of the '30s and '40s (briefly in ""Our Gang"") who went into writing and public relations, married to Jane Powell from 1988 until his death.  twitter  IMDb  Obituary"
Jack Larson (producer/playwright/actor),,"February 8, 1933","September 20, 2015","Jimmy Olsen in the '50s version of Superman, was once Montgomery Clift's boyfriend, longtime companion of screenwriter James Bridges.  twitter  IMDb  Obituary"
Kevin Corcoran (assistant director/kid actor),Cancer. ,"June 10, 1949","October 6, 2015","Lots of Disney movies including Old Yeller, Toby Tyler and Pollyanna, served as first asssistant director for many TV shows in the '80s and '90s, producer of Sons of Anarchy.  twitter  IMDb  Obituary"
Paul Prudhomme (early celebrity chef),,"July 13, 1940","October 8, 2015","An early celebrity chef, he wrote Cajun cookbooks and owned K-Paul's, a great New Orleans restaurant.  Home Page  twitter  IMDb  Obituary  FindAGrave"
Marty Ingels (comic/publicist),,"March 9, 1936","October 21, 2015","I'm Dickens, He's Fenster married to Shirley Jones from 1977 until his death.  twitter  IMDb  Obituary"
Maureen O'Hara (actress),,"August 17, 1920","October 24, 2015","Wonderfully bold actress with Technicolor red hair, The Quiet Man and the original The Parent Trap  twitter  IBDB  IMDb  Obituary"
Al Molinaro (actor),Gall stones. ,"June 24, 1919","October 29, 2015","Murray the Cop on TV's The Odd Couple, Happy Days, later did Encore commercials.  twitter  IMDb Obituary"
Melissa Mathison (screenwriter),Neuroendocrine cancer. ,"June 3, 1950","November 4, 2015","Wrote the classic script for ET, married to Harrison Ford in the '80s and '90s.  twitter  IMDb  Obituary  FindAGrave"
Saeed Jaffrey (actor),Brain hemmorhage ,"January 8, 1929","November 14, 2015","Prolific actor in international cinema, he was probably best-known in the US for Billy Fish in The Man Who Would Be King, Patel in Gandhi, Nasser in My Beautiful Launderette.  twitter  IBDB  IMDb  Obituary"
Marjorie Lord (actress),,"July 26, 1918","November 28, 2015","Kathy in Make Room for Daddy, loads of movies and Broadway plays, Anne Archer's mom, fundraiser for many cultural organizations in her retirement.  Home Page  twitter  IBDB  IMDb  Obituary"
Robert Loggia (actor),Alzheimer's. ,"January 3, 1930","December 4, 2015","Lots of bit-parts on TV, Scarface, Big, nominated for a Best Supporting Actor Oscar for Jagged Edge.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Nicholas Smith (actor),Complications after a fall. ,"March 5, 1934","December 6, 2015","Mr. Rumbold on Are You Being Served?, did various voices for Wallace and Grommit cartoons and video games.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Peter Dickinson (YA writer),,"December 16, 1927","December 16, 2015","Wrote dozens of YA books, including Tulku.  Home Page  twitter  IMDb  Obituary"
George Clayton Johnson (writer),[[premature death rumors]] Cancer. ,"July 7, 1929","December 25, 2015","Wrote many episodes of TV for shows like Twilight Zone and Star Trek, co-wrote the novel of Logan's Run.  twitter  IMDb  Obituary"
Meadowlark Lemon (basketball player/minister),,"April 25, 1932","December 27, 2015","The ""Clown Prince of Basketball,"" he was the member of the Harlem Globetrotters (1955-1980) who always seemed to have the most fun on court.  Home Page  twitter  IMDb  Obituary"
Natalie Cole (singer),Congestive heart failure. ,"February 6, 1950","December 31, 2015","Sang ""This Will Be (An Everlasting Love)"" on her first album, ""Unforgettable"" as a virtual duet with her father, and in the movie De-Lovely, died same day as Wayne Rogers.  Home Page  twitter  IBDB  IMDb"
Beth Howland (actress/dancer),,"May 28, 1941","December 31, 2015","Best-known as playing Vera on the '70s TV sitcom Alice, won an Oscar for producing the documentary You Don't Have to Die, performed in the original Broadway productions of Bye, Bye Birdie and Company, married to Michael J. Pollard in the '60s and to Charles Kimbrough from 2002 until her death.  twitter  IBDB  IMDb  Obituary"
Wayne Rogers (businessman/actor),Pneumonia. ,"April 7, 1933","December 31, 2015",Trapper John on TV's M*A*S*H.  Home Page  twitter  IMDb  Obituary
Juanita Moore (actress),,"October 19, 1914","January 1, 2014","Received Best Actress Oscar and Golden Globe nominations for Imitation of Life, and appeared the London production of A Raisin in the Sun.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Phil Everly (singer/songwriter),Chronic obstructive pulmonary disorder. ,"January 19, 1939","January 3, 2014","The younger Everly Brother, Phil wrote ""When Will I Be Loved?"" and ""Cathy's Clown;"" very influential over the Beatles and Simon and Garfunkel.  twitter  IBDB  IMDb  Obituary  FindAGrave"
Alicia Rhett (actress/artist),,"February 1, 1915","January 3, 2014","Played India Wilkes in Gone with the Wind, spent most of her life as a portrait artist.  twitter  IMDb  Obituary  FindAGrave"
Saul Zaentz (movie producer),Alzheimer's Disease. ,"February 28, 1921","January 3, 2014","Won three Best Picture Oscars for One Flew Over the Cuckoo's Nest, Amadeus and The English Patient.  Home Page  twitter  IMDb  Obituary"
Russell Johnson (actor),,"November 10, 1924","January 16, 2014","Best-known as the Professor on Gilligan's, did Alaska Airlines ads.  Home Page    IMDb"
Dave Madden (comic),Congestive heart and kidney failure. ,"December 12, 1933","January 16, 2014","The Partridge Family, Laugh-In.  twitter  IMDb"
Ruth Robinson Duccini (actress),,"July 23, 1918","January 16, 2014","Last surviving actress to play a Munchkin in The Wizard of Oz, also appeared in Under the Rainbow.  twitter  IMDb  Obituary"
Hiroo Onoda (stubborn soldier/cattle farmer),,"March 19, 1922","January 16, 2014",Japanese soldier who continued to fight WWII in the jungles of the Phillippines until he finally agreed to surrender in 1974.  twitter  Obituary
Pete Seeger (singer/songwriter/activist),,"May 3, 1919","January 27, 2014","Wrote songs like ""If I Had a Hammer"" and ""Where Have All the Flowers Gone,"" founder of the group The Weavers, blacklisted during the '50s and '60s due to his political views, performed regularly in concert through his late 80s, marched for miles during an Occupy march in his 90s.  Home Page  twitter  IBDB  IMDb  Obituary  FindAGrave"
Arthur Rankin (producer),,"July 17, 1924","January 30, 2014","With Jules Bass, produced classic cartoons like Rudolph, the Red-Nosed Reindeer, The Hobbit and The Last Unicorn.  twitter  IBDB  Obituary"
Christopher Jones (actor),Cancer. ,"August 18, 1941","January 31, 2014","Starred as the mysterious soldier in Ryan's Daughter, once married to Susan Strasberg.  twitter  IMDb  Obituary"
Maximilian Schell (actor),,"December 8, 1930","February 1, 2014","Judgment at Nuremberg (for which he won an Oscar), Deep Impact, brother of Maria Schell.  twitter  IBDB  IMDb  Obituary"
Philip Seymour Hoffman (actor),Drug overdose. ,"July 23, 1967","February 2, 2014","Brilliant actor who won an Oscar for Capote, died while Mockingjay was in production.  Home Page  twitter  IBDB  IMDb  Obituary"
